Year,Survey,StationCode,TowsCompleted,Index,VolumeOfAllTows,SampDate,TemperatureTop,TemperatureBottom,Secchi,ConductivityTop,ConductivityBottom,TideCode,DepthBottom,CableOut,TowDirection,WindDirection,Microcystis,TurbidityTop,Weather,Waves,StartLatDegrees,StartLatMinutes,StartLatSeconds,StartLongDegrees,StartLongMinutes,StartLongSeconds,EndLatDegrees,EndLatMinutes,EndLatSeconds,EndLongDegrees,EndLongMinutes,EndLongSeconds,Latitude,Longitude,<>,Age-0 Striped Bass,American Shad,Bay Goby,Chameleon Goby,Cheekspot Goby,Crangon,Gobies (Unid),Herring (Unid),Jacksmelt,Jelly (UNID),Largemouth Bass,Lepomis (UNID),Longfin Smelt,Maeotias,Mississippi Silverside,Northern Anchovy,Pacific Herring,Pacific Lamprey,Palaemon,Plainfin Midshipman,Prickly Sculpin,Rainwater Killifish,Shimofuri Goby,Shokihaze Goby,Siberian prawn,Splittail,Staghorn Sculpin,Starry Flounder,Threadfin Shad,Three Spine Stickleback,Topsmelt,Trid_SB0 (UNID),Tridentiger spp,Tule Perch,Unknown Damaged (UNID),Unknown Fish (UNID),Unknown Invertebrate (UNID),Wakasagi,White Catfish,Yellowfin Goby
2021,1,520,2,1,2047,6/10/2021,21,21.1,68,4649,4976,2,39,225,2,W,1,10.3,1,1,38,1,55.3,121,51,41.7,38,1,56.1,121,51,58,38.03202778,-121.8615833,,,,,,,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2021,1,602,3,1,2421,6/10/2021,18.8,18.1,25,10953,14359,4,3,75,2,S,1,19,1,2,38,7,4,122,2,31,38,6,59.1,122,2,43.7,38.11777778,-122.0419444,,,,,,,110,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,9
2021,1,606,3,1,3196,6/10/2021,18.7,18.8,35,10622,10862,3,21,175,3,SW,1,31.6,1,1,38,10,11.9,122,1,25.3,38,10,17.3,122,1,53.3,38.16997222,-122.0236944,,7,,,,,,,,,,,,5,,1,,,,,,,,,,,,,,,,,10,10,,5,,,,,3
2021,1,609,3,1,3069,6/10/2021,17.9,17.4,38,9800,5773,2,22,175,2,W,1,25.2,1,2,38,10,1.7,121,56,25.7,38,10,4.1,121,56,7.2,38.16713889,-121.9404722,,1,,,,,,,,,,,,2,,,,1,,,,,,,,,,,,,,,2,45,,2,,,,,9
2021,1,610,3,1,3089,6/10/2021,17.3,16.9,43,10000,2732,2,10,100,1,W,1,25.5,1,1,38,7,15.4,121,53,19.7,38,7,34.6,121,53,45.5,38.12094444,-121.8888056,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,13,,1,,,,,
2021,1,704,3,1,2992,6/7/2021,19.4,19.6,37,6600,6430,2,36,225,2,W,1,19.1,1,3,38,3,52.1,121,47,21.2,38,3,54.3,121,47,13.7,38.06447222,-121.7892222,,,,,,,19,,,,,,,54,,,,2,,,,,,,,20,,,,,,,,1,,,,,,,
2021,1,706,3,1,2851,6/7/2021,18.7,19.7,27,1470,3515,2,30,225,2,W,1,34.4,1,3,38,5,10.1,121,44,49.5,38,5,10.1,121,44,44.9,38.08613889,-121.7470833,,4,,,,,10,,,,,,,2,,,,,,,,,,,,,,,,,,,,12,,1,,,,,3
2021,1,707,3,1,38570,6/7/2021,20.4,19.4,38,869,375,2,32,225,2,W,1,21.8,1,3,38,6,48.7,121,42,30,38,5,54,121,42,22.5,38.11352778,-121.7083333,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,7,,,,,,,
2021,1,711,2,1,1887,6/7/2021,22.4,21.2,110,169,171,2,11,100,2,SW,1,6.2,1,3,38,10,35.6,121,39,40.2,38,10,32,121,39,30.2,38.17655556,-121.6611667,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2021,1,713,2,0,1846,6/7/2021,21.1,20.9,63,176,174,2,43,225,2,S,1,10.1,1,3,38,12,15.8,121,39,30.6,38,12,25.6,121,39,32,38.20438889,-121.6585,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,,,,,,,,,,,,
2021,1,716,2,0,2278,6/7/2021,20.3,19.7,74,176,56,2,35,225,2,W,1,7.9,1,2,38,14,23.3,121,41,7.5,38,14,35.3,121,41,16.2,38.23980556,-121.6854167,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2021,1,719,3,0,43036,6/9/2021,19.7,18.9,22,400,394,4,30,225,2,S,2,44,1,2,38,20,0.3,121,38,50.3,38,19,40.1,121,38,55,38.33341667,-121.6473056,,48,21,,,,,,,,,,,,,1,,,,,,1,,,,90,3,,,2,,,,1,,4,,,,,
2021,1,722,2,0,1941,6/7/2021,19.9,19.4,92,173,152,2,14,125,2,S,1,9.3,1,2,38,15,19,121,41,16.8,38,15,31.6,121,41,36.7,38.25527778,-121.688,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2021,1,723,2,0,1940,6/9/2021,19.7,19.2,40,205,172,4,32,225,2,SW,2,13.6,1,2,38,14,24.9,121,40,19.4,38,14,11.7,121,40,23.5,38.24025,-121.6720556,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2021,1,795,3,0,3012,6/9/2021,20.5,19.6,40,1005,140,2,33,225,2,S,2,14.3,2,1,38,32,20.7,121,35,5.5,38,32,36.4,121,35,3.6,38.53908333,-121.5848611,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,38,,,3,51,,8,,,,,
2021,1,796,3,0,3108,6/9/2021,20,19.4,45,832,486,2,32,225,2,S,2,21.6,1,1,38,28,32.3,121,35,4.5,38,28,46.5,121,35,5,38.47563889,-121.5845833,,39,24,,,,,,,,,,,,,,,,,,,,,,,,,,,57,,,9,145,,12,,,1,,
2021,1,797,3,0,3080,6/9/2021,19.9,19.1,27,601,349,2,30,225,2,SW,2,41.6,1,1,38,24,17.1,121,36,55.1,38,24,31.5,121,36,49.6,38.40475,-121.6153056,,47,14,,,,,,,,,,,,,,,,,,,,,,,113,2,,,4,,,,,,7,,,2,,
2021,1,801,3,1,3035,6/10/2021,17.7,16.9,63,9387,8004,2,20,175,2,W,1,17.1,1,2,38,2,49,121,50,39.8,38,2,42.4,121,50,35.3,38.04694444,-121.8443889,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,
2021,1,804,3,1,3298,6/7/2021,20.4,19.3,41,5764,2916,2,33,225,2,SW,1,17.8,1,2,38,1,2.8,121,47,47.2,38,1,2.4,121,47,42.3,38.01744444,-121.7964444,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,29,,1,,,,,
2021,1,809,3,1,2991,6/8/2021,20.4,18.7,65,2795,2664,2,36,225,2,SW,1,13.7,1,2,38,3,9.5,121,41,36.6,38,3,12.9,121,41,28.7,38.05263889,-121.6935,,2,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,13,,2,,,,,
2021,1,812,3,1,3260,6/8/2021,20.7,19.4,70,927,2007,2,25,200,2,SW,1,12.4,1,3,38,5,27.5,121,38,35.9,38,5,23.1,121,38,16.1,38.09097222,-121.6433056,,1,,,,,,,1,,,,,,,,,,,,,,,,,,,,,1,,,1,,,,,,,,
2021,1,815,3,1,3081,6/8/2021,21.7,20.1,95,442,294,2,22,200,2,SW,3,6.6,1,2,38,5,11.4,121,34,18.3,38,5,1.1,121,34,16.7,38.0865,-121.57175,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,1,,,,,,,
2021,1,902,3,1,3065,6/7/2021,22.6,21.1,132,690,452,2,23,200,2,W,2,5.2,1,1,38,1,12.7,121,34,56.9,38,1,5.7,121,34,55.3,38.02019444,-121.5824722,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,
2021,1,906,3,1,2985,6/8/2021,22.8,21.7,239,458,189,4,35,225,2,W,2,5.4,1,1,38,3,0.1,121,30,21.3,38,3,11.7,121,30,45.2,38.05002778,-121.5059167,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11,,1,,,,,
2021,1,910,3,1,2904,6/8/2021,22.8,21.3,121,597,273,4,35,225,2,W,2,6.3,1,1,38,0,8.2,121,27,0.5,38,0,29.1,121,27,16.2,38.00227778,-121.4501389,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,,3,,,,,
2021,1,912,2,1,1999,6/8/2021,22.2,20.9,117,742,705,2,38,225,2,SW,2,5.8,1,1,37,58,5.6,121,22,14,37,57,54.2,121,22,0.9,37.96822222,-121.3705556,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2021,1,914,2,1,1982,6/7/2021,23.5,22.7,153,492,3628,3,27,225,2,SW,3,4.9,1,1,37,57,54.1,121,31,49.1,37,58,9.5,121,31,40.3,37.96502778,-121.5303056,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2021,1,915,3,1,2996,6/7/2021,23,21.8,101,567,285,2,25,200,2,W,3,5.1,1,1,37,56,51.3,121,34,8.7,37,56,38.6,121,34,4.1,37.94758333,-121.5690833,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,
2021,1,918,3,1,2896,6/7/2021,22.7,21.2,90,555,472,2,20,175,2,W,3,4.2,1,1,37,51,37.3,121,34,6,37,51,28,121,33,56.8,37.86036111,-121.5683333,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,1,,,,,,,,,,1,
2021,1,919,3,1,3126,6/7/2021,22.8,22.1,104,189,56,4,22,200,2,W,3,5.1,1,3,38,6,25.9,121,29,58.3,38,6,19.9,121,29,43.6,38.10719444,-121.4995278,,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,
2021,2,323,3,1,2432,6/22/2021,20,19.5,35,34587,33389,3,13,100,2,SW,1,,2,3,38,2,56.4,122,16,42.6,38,2,48.2,122,16,54.4,38.049,-122.2785,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,1,,,,,
2021,2,340,2,0,1856,6/22/2021,20.1,19.8,67,33050,2634,3,18,150,2,SW,1,7.4,3,1,38,5,54.2,122,15,45.5,38,5,45.5,122,15,37,38.09838889,-122.2626389,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2021,2,405,3,1,2700,6/21/2021,20.6,20.4,37,29972,16786,4,15,125,2,W,1,,1,3,38,2,24.8,122,9,6.1,38,2,23.8,122,8,49,38.04022222,-122.1516944,,,,,,,,,,,,,,2,,2,2,,,,,,,,,,,,,,,,,,,,,,,,1
2021,2,411,2,1,1553,6/22/2021,20.6,20.4,28,20802,16959,4,13,125,2,SW,1,16.8,1,2,38,3,10.8,122,4,24.6,38,3,5.9,122,4,36.3,38.053,-122.0735,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2021,2,418,3,1,2764,6/21/2021,20.5,20,20,27656,16687,4,36,225,2,SW,1,23.8,1,3,38,4,12.8,122,5,40.1,38,4,0.6,122,5,41.2,38.07022222,-122.0944722,,,,,,,,,,,,,,1,,,1,,,,,,,,,,,,,,,,,,,,,,,,
2021,2,501,3,1,2752,6/22/2021,20.9,20.4,30,19496,14277,4,30,225,2,SW,1,18.7,1,3,38,4,20.7,122,1,23.7,,,,,,,38.07241667,-122.02325,,,,,,,1,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,
2021,2,504,3,1,2604,6/22/2021,20.7,20.5,33,15176,11434,4,29,225,2,SW,1,17.1,1,2,38,3,8.9,121,59,11.3,38,3,16.1,121,59,21.3,38.05247222,-121.9864722,,2,,,,,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1
2021,2,508,3,1,2491,6/22/2021,20.9,20.7,20,13987,12862,4,39,225,2,SW,1,35.9,1,3,38,2,54.4,121,54,43.8,38,2,54.3,121,54,49.3,38.04844444,-121.9121667,,,,,,,322,,,,,,,,,,2,,,6,,,,,,3,,,,,,,,1,,,,,,,2
2021,2,513,3,1,2502,6/21/2021,20.6,19.8,34,10253,5870,2,50,225,2,SW,1,18.1,1,3,38,3,28.7,121,52,15.6,38,3,30.6,121,52,3.7,38.05797222,-121.871,,,,,,,1,,,,,,,,3,1,,,,,,,,,,,,,,,,,,13,,2,,,,,2
2021,2,519,2,1,1670,6/22/2021,20.6,20.5,33,14650,11863,4,8,75,2,SW,1,31.4,1,2,38,4,24.7,121,57,28.2,38,4,22.8,121,57,38.5,38.07352778,-121.9578333,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2021,2,520,3,1,2813,6/22/2021,21.1,20.9,36,11709,12284,4,42,225,2,W,1,16.8,1,2,38,1,53.4,121,51,45,38,1,54.1,121,51,59.5,38.0315,-121.8625,,,,,,,1,,,,,,,,,,,1,,,,,,,,,,,,,,1,,5,,1,,,,,
2021,2,602,3,1,2800,6/21/2021,20.4,19.8,20,23351,9060,4,6,75,2,SW,1,32.1,1,3,38,6,56.8,122,2,40,38,6,47,122,2,52.2,38.11577778,-122.0444444,,2,,,,,,,,,,,,,,1,4,1,,,,,,,,,,,,,,,,1,,,,,,,1
2021,2,606,3,1,2671,6/21/2021,22.2,21.1,20,16864,9650,4,27,200,2,W,1,43.7,1,1,38,10,9.8,122,1,27.2,38,10,11,122,1,38.4,38.16938889,-122.0242222,,,,,,,19,,,,,,,,,,1,,,,,,,,,7,,,,,,,,32,,1,,,,,1
2021,2,609,3,1,2798,6/21/2021,21.9,21.2,46,12756,10305,4,35,225,2,SW,1,16.4,1,2,38,10,2.2,121,56,13.9,38,10,1.7,121,56,24.1,38.16727778,-121.9371944,,,,,,,,,,,,,,,,2,,,,,,,,1,,,,,,,,,,63,,2,,,,,
2021,2,610,3,1,2535,6/21/2021,21.2,20.3,30,12218,5426,2,13,100,2,SW,1,24.6,1,2,38,7,18.2,121,53,19.9,38,7,7.8,121,53,19.1,38.12172222,-121.8888611,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,27,,,,,,,
2021,2,704,3,1,2736,6/22/2021,20.4,19.5,42,5720,7505,2,32,225,2,W,1,24.6,1,3,38,3,59.8,121,47,1.5,,,,,,,38.06661111,-121.78375,,3,,,,,20,,,,,,,,4,,,,,5,,,1,,,5,,,,,,,,78,,3,,,,,3
2021,2,706,3,1,1013,6/22/2021,21.5,20.9,42,2046,2169,2,31,225,2,W,1,19.4,1,3,38,5,24.6,121,44,24,38,5,31.1,121,44,16,38.09016667,-121.74,,1,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,47,,11,,,,,
2021,2,707,3,1,1948,6/22/2021,22.3,21.9,48,579,636,2,31,225,2,W,1,16.7,1,2,38,6,46.2,121,42,30.8,38,6,54.6,121,42,20.4,38.11283333,-121.7085556,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,,22,,12,,,,,
2021,2,711,2,1,1872,6/22/2021,24,23.6,126,157,161,2,11,100,2,W,1,6.2,1,2,38,10,37.5,121,39,42.7,38,10,31.2,121,39,26.5,38.17708333,-121.6618611,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2021,2,713,2,0,2068,6/25/2021,21.6,21,76,364,395,2,41,225,2,W,1,10.8,1,2,38,12,17.7,121,39,33.3,38,12,22.8,121,39,34.4,38.20491667,-121.65925,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,,1,,,,,,,
2021,2,716,2,0,1838,6/25/2021,20.6,20.6,70,238,107,2,30,225,2,W,1,9.7,1,2,38,14,19.9,121,41,6.3,38,14,26.2,121,41,11.6,38.23886111,-121.6850833,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2021,2,719,2,0,1856,6/23/2021,21.6,20.6,16,363,418,2,35,225,2,SW,1,54.9,1,1,38,20,2,121,38,50.2,38,20,14.9,121,38,46.7,38.33388889,-121.6472778,,13,22,,,,,,,,,,,,,,,,,,,,,,,105,,,,1,,,,,,1,,,1,6,1
2021,2,722,2,,1671,6/25/2021,21.1,21.8,89,215,175,2,30,225,2,W,1,7.8,1,1,38,15,17.2,121,41,14.9,38,15,25.7,121,41,27.2,38.25477778,-121.6874722,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,,,,,,,,,
2021,2,723,2,0,1872,6/25/2021,22.1,22.2,62,222,101,2,35,225,2,W,1,12.9,1,1,38,14,13,121,40,24.2,38,14,24.1,121,40,20.6,38.23694444,-121.6733889,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2021,2,795,2,0,1886,6/23/2021,23.7,24.1,39,1100,1131,2,36,225,2,SW,2,12.4,1,1,38,32,9.7,121,35,4.8,38,32,26.5,121,35,4.2,38.53602778,-121.5846667,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,10,,,,,,,
2021,2,796,2,0,1857,6/23/2021,22.6,22,10,928,735,2,30,225,2,SW,1,33.9,1,1,38,28,31.2,121,35,4.2,38,28,48.8,121,35,3.9,38.47533333,-121.5845,,8,1,,,,,,,,,,,,,1,,,,,,,,,,35,,,,18,,,,120,,2,,,,1,
2021,2,797,2,0,1870,6/23/2021,21.7,21,8,592,549,2,33,225,2,SW,1,83.1,1,1,38,24,18,121,36,55,38,24,31.6,121,36,48.9,38.405,-121.6152778,,12,67,,,,,,,,,,,,,1,,,,,,,,,,143,,,,13,,,,5,,,,,,,
2021,2,801,3,1,2666,6/21/2021,21.1,19.1,37,6684,8988,2,21,175,2,SW,1,18.1,1,3,38,2,47.9,121,50,43.8,38,2,45.9,121,50,33.8,38.04663889,-121.8455,,4,,,,,,,,,,,,,17,1,,,,,,,,,,,,,,,,,,17,,,,,,,1
2021,2,804,3,1,2713,6/23/2021,20.5,20,40,8305,9210,2,40,225,2,W,1,13.4,1,3,38,1,4.7,121,47,54,38,1,4.8,121,47,49.1,38.01797222,-121.7983333,,1,,,,,1,,,,,,,,2,,,,,,,,1,,,2,,,,,,,,56,,1,,,,,
2021,2,809,3,1,3017,6/23/2021,22.5,22.9,90,1334,1437,4,40,225,2,W,2,10.6,1,2,38,3,11.8,121,41,33.6,38,3,4.4,121,41,41.4,38.05327778,-121.6926667,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,23,,,,,,,
2021,2,812,3,1,2754,6/22/2021,23,23.1,109,606,626,2,22,175,2,W,2,8.1,1,2,38,5,23.5,121,38,22.2,38,5,29.7,121,38,0.2,38.08986111,-121.6395,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12,,8,,,,,
2021,2,815,3,1,2891,6/22/2021,23.3,23.6,125,455,649,4,40,225,2,W,2,7,1,1,38,5,3.4,121,34,22.5,38,5,11.1,121,34,23.6,38.08427778,-121.5729167,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,23,,,,,,,
2021,2,902,3,1,2917,6/23/2021,23.3,24.1,158,733,746,2,28,225,2,N,2,6.1,1,1,38,1,18.1,121,34,58.1,38,1,5.4,121,34,55.8,38.02169444,-121.5828056,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9,,,,2,,,
2021,2,906,3,1,2978,6/22/2021,23.7,24,200,567,570,4,40,225,2,W,3,3.4,1,1,38,2,53.3,121,30,13.3,38,3,1.5,121,30,20.4,38.04813889,-121.5036944,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,1,,,,,,,
2021,2,910,3,1,2949,6/23/2021,23,22.5,118,632,626,1,38,225,3,W,3,4.9,1,1,38,0,6.3,121,26,59.2,38,0,26.3,121,27,14,38.00175,-121.4497778,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,39,,9,,,,,
2021,2,912,3,1,3085,6/23/2021,23.4,22.9,122,524,511,2,40,225,2,W,3,7,1,1,38,6,40.7,121,29,57.9,37,57,49.1,121,21,55.2,38.11130556,-121.4994167,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,,,,,
2021,2,914,3,1,2754,6/23/2021,23.1,22.7,166,569,549,1,28,225,3,NW,4,6.4,1,1,37,58,6.5,121,31,44.6,37,57,56.4,121,31,49.8,37.96847222,-121.5290556,,,,,,,,,,,,1,,,,,,,,1,,,,,,,,,,,,,,2,,,,,,,
2021,2,915,3,1,3037,6/23/2021,23.5,23.2,139,696,691,2,30,225,2,N,4,4.3,1,1,37,56,51.3,121,34,8.5,37,56,38.2,121,34,3.7,37.94758333,-121.5690278,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,2,,,,,
2021,2,918,3,1,2909,6/23/2021,24.9,24.7,125,673,692,2,24,200,2,NA,4,4.7,1,1,37,51,37.8,121,34,7.4,37,51,27.2,121,33,56.4,37.8605,-121.5687222,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,
2021,2,919,2,1,2056,6/22/2021,24.2,24,162,187,194,2,25,200,2,W,3,3.3,1,2,38,6,20.2,121,29,45.7,38,6,35.3,121,30,3.1,38.10561111,-121.4960278,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2021,3,323,3,1,2793,7/6/2021,19.9,19.8,99,37535,37249,4,13,125,2,S,1,9.8,1,3,38,2,40.6,122,17,19.5,38,2,37.6,122,17,34.1,38.04461111,-122.28875,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2021,3,340,2,0,1952,7/7/2021,19.4,19,95,33213,33262,2,12,100,1,S,1,7.6,3,1,38,5,54.8,122,12,45.1,38,5,38,122,12,28.9,38.09855556,-122.2125278,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2021,3,405,3,1,2850,7/7/2021,18.9,18.6,21,25526,26501,2,16,150,2,W,1,68.4,1,3,38,2,24.3,122,9,15.4,38,2,22.6,122,9,4.6,38.04008333,-122.1542778,,,,,,,146,,,,,,,1,,,5,,,15,,,,,,1,,,,,,,,,,,,,,,7
2021,3,411,3,1,2869,7/7/2021,19.9,19.7,47,19247,20013,3,15,125,2,W,1,20.3,1,3,38,2,58,122,5,5.9,38,3,2.2,122,4,45.8,38.04944444,-122.0849722,,,,,,,,,,,,,,,,,8,,,,,,,,,,,,,,,,,,,,,,,,
2021,3,418,3,1,2896,7/7/2021,19.1,18.9,17,22193,22567,2,36,225,2,SW,1,83.3,1,3,38,3,57.3,122,5,56.4,38,4,4.3,122,5,45.9,38.06591667,-122.099,,,,,,,17,,,1,,,,,,,2,,,1,,,,,,,,,,,,,,,,,,,,,2
2021,3,501,3,1,2790,7/7/2021,19.9,20.3,49,17629,16216,4,30,225,2,W,1,25.6,1,2,38,4,21.4,122,1,27,38,4,27.9,122,1,41.2,38.07261111,-122.0241667,,,,,,,,,,,,,,1,7,,2,,,,,,,,1,,,,,,,,,6,,,2,,,,2
2021,3,504,3,1,3172,7/8/2021,19.8,19.2,38,16704,18608,2,25,200,2,SW,2,25.9,1,2,38,3,7.9,121,59,8.6,38,3,4,121,59,1.1,38.05219444,-121.9857222,,,,,,,1,,,,,,,,,,,,,,,,,,1,,,,,,,,,4,,,,,,,2
2021,3,508,3,1,2974,7/8/2021,19.9,19.8,38,11862,12506,2,39,225,2,W,2,26.5,1,3,38,2,51.5,121,55,11,38,2,52.6,121,55,7.5,38.04763889,-121.9197222,,,,,,,18,,,,,,,,73,,1,,,,,,,,1,,,,,,,,,16,,,,,,,
2021,3,513,3,1,2816,7/7/2021,21.2,20.6,77,8200,8813,4,50,225,2,W,2,9.1,1,3,38,3,34.3,121,52,6.3,38,3,27,121,52,16.3,38.05952778,-121.8684167,,,,,,,,,1,,,,,,159,,,,,,,,,,,,,,,,,,,104,,3,,,,,
