Date,ds_year,month,Source,Station,Region,SubRegion,ds_year_type,Season,samples_in_month,chlaAvg,chlaAvg_log10
1975-03-18T07:00:00Z,1975,3,EMP,P12,South-Central Delta,Grant Line Canal and Old River,Wet,Spring,1,8.95,0.951823035315912
1975-03-18T07:00:00Z,1975,3,EMP,P8,South-Central Delta,San Joaquin River near Stockton,Wet,Spring,1,7.41,0.8698182079793282
1975-04-01T07:00:00Z,1975,4,EMP,C3,North Delta,Middle Sacramento River,Wet,Spring,1,1.91,0.28103336724772754
1975-04-18T07:00:00Z,1975,4,EMP,C3,North Delta,Middle Sacramento River,Wet,Spring,1,2.62,0.41830129131974547
1975-04-01T07:00:00Z,1975,4,EMP,C7,South-Central Delta,Upper San Joaquin River,Wet,Spring,1,14.51,1.161667412437736
1975-04-18T07:00:00Z,1975,4,EMP,C7,South-Central Delta,Upper San Joaquin River,Wet,Spring,1,22.38,1.3498600821923312
1975-04-01T07:00:00Z,1975,4,EMP,C9,South-Central Delta,Victoria Canal,Wet,Spring,1,2.16,0.3344537511509309
1975-04-16T07:00:00Z,1975,4,EMP,C9,South-Central Delta,Victoria Canal,Wet,Spring,1,3.71,0.5693739096150459
1975-04-03T07:00:00Z,1975,4,EMP,D10,Confluence,Confluence,Wet,Spring,1,1.79,0.2528530309798932
1975-04-23T07:00:00Z,1975,4,EMP,D10,Confluence,Confluence,Wet,Spring,1,3.71,0.5693739096150459
1975-04-02T07:00:00Z,1975,4,EMP,D11,Confluence,Lower Sacramento River,Wet,Spring,1,1.3,0.11394335230683679
1975-04-22T07:00:00Z,1975,4,EMP,D11,Confluence,Lower Sacramento River,Wet,Spring,1,3.55,0.5502283530550941
1975-04-03T07:00:00Z,1975,4,EMP,D12,Confluence,Lower San Joaquin River,Wet,Spring,1,1.61,0.20682587603184974
1975-04-23T07:00:00Z,1975,4,EMP,D12,Confluence,Lower San Joaquin River,Wet,Spring,1,3.86,0.5865873046717549
1975-04-03T07:00:00Z,1975,4,EMP,D14A,Confluence,Lower San Joaquin River,Wet,Spring,1,2.1,0.3222192947339193
1975-04-23T07:00:00Z,1975,4,EMP,D14A,Confluence,Lower San Joaquin River,Wet,Spring,1,5.71,0.756636108245848
1975-04-02T07:00:00Z,1975,4,EMP,D15,Confluence,San Joaquin River at Twitchell Island,Wet,Spring,1,1.67,0.22271647114758325
1975-04-22T07:00:00Z,1975,4,EMP,D15,Confluence,San Joaquin River at Twitchell Island,Wet,Spring,1,4.01,0.6031443726201823
1975-04-02T07:00:00Z,1975,4,EMP,D16,Confluence,San Joaquin River at Twitchell Island,Wet,Spring,1,1.36,0.13353890837021754
1975-04-22T07:00:00Z,1975,4,EMP,D16,Confluence,San Joaquin River at Twitchell Island,Wet,Spring,1,3.09,0.4899584794248346
1975-04-02T07:00:00Z,1975,4,EMP,D19,South-Central Delta,Franks Tract,Wet,Spring,1,1.85,0.26717172840301384
1975-04-22T07:00:00Z,1975,4,EMP,D19,South-Central Delta,Franks Tract,Wet,Spring,1,4.01,0.6031443726201823
1975-04-02T07:00:00Z,1975,4,EMP,D22,Confluence,Sacramento River near Rio Vista,Wet,Spring,1,2.28,0.35793484700045375
1975-04-22T07:00:00Z,1975,4,EMP,D22,Confluence,Sacramento River near Rio Vista,Wet,Spring,1,3.24,0.5105450102066121
1975-04-02T07:00:00Z,1975,4,EMP,D24,Confluence,Sacramento River near Rio Vista,Wet,Spring,1,1.73,0.2380461031287954
1975-04-22T07:00:00Z,1975,4,EMP,D24,Confluence,Sacramento River near Rio Vista,Wet,Spring,1,3.4,0.5314789170422551
1975-04-02T07:00:00Z,1975,4,EMP,D26,Confluence,San Joaquin River at Prisoners Pt,Wet,Spring,1,1.42,0.15228834438305647
1975-04-22T07:00:00Z,1975,4,EMP,D26,Confluence,San Joaquin River at Prisoners Pt,Wet,Spring,1,2.93,0.4668676203541095
1975-04-01T07:00:00Z,1975,4,EMP,D28A,South-Central Delta,Old River,Wet,Spring,1,2.22,0.3463529744506387
1975-04-16T07:00:00Z,1975,4,EMP,D28A,South-Central Delta,Old River,Wet,Spring,1,4.01,0.6031443726201823
1975-04-02T07:00:00Z,1975,4,EMP,D4,Confluence,Lower Sacramento River,Wet,Spring,1,1.61,0.20682587603184974
1975-04-22T07:00:00Z,1975,4,EMP,D4,Confluence,Lower Sacramento River,Wet,Spring,1,3.4,0.5314789170422551
1975-04-03T07:00:00Z,1975,4,EMP,D6,Suisun Bay,West Suisun Bay,Wet,Spring,1,1.36,0.13353890837021754
1975-04-23T07:00:00Z,1975,4,EMP,D6,Suisun Bay,West Suisun Bay,Wet,Spring,1,6.33,0.8014037100173551
1975-04-03T07:00:00Z,1975,4,EMP,D7,Suisun Bay,Grizzly Bay,Wet,Spring,1,1.73,0.2380461031287954
1975-04-23T07:00:00Z,1975,4,EMP,D7,Suisun Bay,Grizzly Bay,Wet,Spring,1,4.79,0.6803355134145632
1975-04-03T07:00:00Z,1975,4,EMP,D8,Suisun Bay,Mid Suisun Bay,Wet,Spring,1,1.79,0.2528530309798932
1975-04-23T07:00:00Z,1975,4,EMP,D8,Suisun Bay,Mid Suisun Bay,Wet,Spring,1,3.4,0.5314789170422551
1975-04-03T07:00:00Z,1975,4,EMP,D9,Suisun Bay,Honker Bay,Wet,Spring,1,1.91,0.28103336724772754
1975-04-23T07:00:00Z,1975,4,EMP,D9,Suisun Bay,Honker Bay,Wet,Spring,1,3.55,0.5502283530550941
1975-04-01T07:00:00Z,1975,4,EMP,MD10,South-Central Delta,Disappointment Slough,Wet,Spring,1,8.95,0.951823035315912
1975-04-18T07:00:00Z,1975,4,EMP,MD10,South-Central Delta,Disappointment Slough,Wet,Spring,1,32.42,1.5108130105124962
1975-04-01T07:00:00Z,1975,4,EMP,P12,South-Central Delta,Grant Line Canal and Old River,Wet,Spring,1,10.5,1.021189299069938
1975-04-18T07:00:00Z,1975,4,EMP,P12,South-Central Delta,Grant Line Canal and Old River,Wet,Spring,1,55.58,1.7449185424413531
1975-04-01T07:00:00Z,1975,4,EMP,P8,South-Central Delta,San Joaquin River near Stockton,Wet,Spring,1,12.35,1.0916669575956846
1975-04-16T07:00:00Z,1975,4,EMP,P8,South-Central Delta,San Joaquin River near Stockton,Wet,Spring,1,20.07,1.3025473724874856
1975-05-01T07:00:00Z,1975,5,EMP,C3,North Delta,Middle Sacramento River,Wet,Spring,1,2.93,0.4668676203541095
1975-05-15T07:00:00Z,1975,5,EMP,C3,North Delta,Middle Sacramento River,Wet,Spring,1,3.24,0.5105450102066121
1975-05-01T07:00:00Z,1975,5,EMP,C7,South-Central Delta,Upper San Joaquin River,Wet,Spring,1,43.23,1.6357852355336517
1975-05-15T07:00:00Z,1975,5,EMP,C7,South-Central Delta,Upper San Joaquin River,Wet,Spring,1,47.08,1.6728364541713971
1975-05-01T07:00:00Z,1975,5,EMP,C9,South-Central Delta,Victoria Canal,Wet,Spring,1,6.18,0.7909884750888159
1975-05-15T07:00:00Z,1975,5,EMP,C9,South-Central Delta,Victoria Canal,Wet,Spring,1,16.21,1.209783014848515
1975-05-08T07:00:00Z,1975,5,EMP,D10,Confluence,Confluence,Wet,Spring,1,10.19,1.0081741840064264
1975-05-22T07:00:00Z,1975,5,EMP,D10,Confluence,Confluence,Wet,Spring,1,16.21,1.209783014848515
1975-05-07T07:00:00Z,1975,5,EMP,D11,Confluence,Lower Sacramento River,Wet,Spring,1,7.41,0.8698182079793282
1975-05-21T07:00:00Z,1975,5,EMP,D11,Confluence,Lower Sacramento River,Wet,Spring,1,17.75,1.249198357391113
1975-05-08T07:00:00Z,1975,5,EMP,D12,Confluence,Lower San Joaquin River,Wet,Spring,1,17.75,1.249198357391113
1975-05-22T07:00:00Z,1975,5,EMP,D12,Confluence,Lower San Joaquin River,Wet,Spring,1,16.98,1.2299376859079338
1975-05-08T07:00:00Z,1975,5,EMP,D14A,Confluence,Lower San Joaquin River,Wet,Spring,1,17.75,1.249198357391113
1975-05-22T07:00:00Z,1975,5,EMP,D14A,Confluence,Lower San Joaquin River,Wet,Spring,1,13.43,1.1280760126687153
1975-05-07T07:00:00Z,1975,5,EMP,D15,Confluence,San Joaquin River at Twitchell Island,Wet,Spring,1,11.73,1.0692980121155293
1975-05-21T07:00:00Z,1975,5,EMP,D15,Confluence,San Joaquin River at Twitchell Island,Wet,Spring,1,14.51,1.161667412437736
1975-05-07T07:00:00Z,1975,5,EMP,D16,Confluence,San Joaquin River at Twitchell Island,Wet,Spring,1,6.79,0.8318697742805017
1975-05-21T07:00:00Z,1975,5,EMP,D16,Confluence,San Joaquin River at Twitchell Island,Wet,Spring,1,8.03,0.9047155452786809
1975-05-07T07:00:00Z,1975,5,EMP,D19,South-Central Delta,Franks Tract,Wet,Spring,1,11.12,1.0461047872460387
1975-05-21T07:00:00Z,1975,5,EMP,D19,South-Central Delta,Franks Tract,Wet,Spring,1,16.98,1.2299376859079338
1975-05-07T07:00:00Z,1975,5,EMP,D22,Confluence,Sacramento River near Rio Vista,Wet,Spring,1,5.56,0.7450747915820575
1975-05-21T07:00:00Z,1975,5,EMP,D22,Confluence,Sacramento River near Rio Vista,Wet,Spring,1,6.18,0.7909884750888159
1975-05-07T07:00:00Z,1975,5,EMP,D24,Confluence,Sacramento River near Rio Vista,Wet,Spring,1,3.09,0.4899584794248346
1975-05-21T07:00:00Z,1975,5,EMP,D24,Confluence,Sacramento River near Rio Vista,Wet,Spring,1,4.01,0.6031443726201823
1975-05-07T07:00:00Z,1975,5,EMP,D26,Confluence,San Joaquin River at Prisoners Pt,Wet,Spring,1,3.24,0.5105450102066121
1975-05-21T07:00:00Z,1975,5,EMP,D26,Confluence,San Joaquin River at Prisoners Pt,Wet,Spring,1,4.94,0.693726948923647
1975-05-01T07:00:00Z,1975,5,EMP,D28A,South-Central Delta,Old River,Wet,Spring,1,6.64,0.8221680793680175
1975-05-15T07:00:00Z,1975,5,EMP,D28A,South-Central Delta,Old River,Wet,Spring,1,17.75,1.249198357391113
1975-05-07T07:00:00Z,1975,5,EMP,D4,Confluence,Lower Sacramento River,Wet,Spring,1,7.26,0.8609366207000937
1975-05-21T07:00:00Z,1975,5,EMP,D4,Confluence,Lower Sacramento River,Wet,Spring,1,9.88,0.9947569445876282
1975-05-08T07:00:00Z,1975,5,EMP,D6,Suisun Bay,West Suisun Bay,Wet,Spring,1,7.72,0.8876173003357362
1975-05-22T07:00:00Z,1975,5,EMP,D6,Suisun Bay,West Suisun Bay,Wet,Spring,1,13.12,1.1179338350396415
1975-05-08T07:00:00Z,1975,5,EMP,D7,Suisun Bay,Grizzly Bay,Wet,Spring,1,13.28,1.1231980750319988
1975-05-22T07:00:00Z,1975,5,EMP,D7,Suisun Bay,Grizzly Bay,Wet,Spring,1,24.7,1.3926969532596658
1975-05-08T07:00:00Z,1975,5,EMP,D8,Suisun Bay,Mid Suisun Bay,Wet,Spring,1,11.89,1.0751818546186915
1975-05-22T07:00:00Z,1975,5,EMP,D8,Suisun Bay,Mid Suisun Bay,Wet,Spring,1,21.61,1.3346547668832414
1975-05-08T07:00:00Z,1975,5,EMP,D9,Suisun Bay,Honker Bay,Wet,Spring,1,9.11,0.9595183769729982
1975-05-22T07:00:00Z,1975,5,EMP,D9,Suisun Bay,Honker Bay,Wet,Spring,1,13.59,1.1332194567324942
1975-05-01T07:00:00Z,1975,5,EMP,MD10,South-Central Delta,Disappointment Slough,Wet,Spring,1,30.1,1.4785664955938433
1975-05-15T07:00:00Z,1975,5,EMP,MD10,South-Central Delta,Disappointment Slough,Wet,Spring,1,12.97,1.1129399760840801
1975-05-01T07:00:00Z,1975,5,EMP,P12,South-Central Delta,Grant Line Canal and Old River,Wet,Spring,1,67.15,1.8270460170047342
1975-05-15T07:00:00Z,1975,5,EMP,P12,South-Central Delta,Grant Line Canal and Old River,Wet,Spring,1,70.24,1.846584502898046
1975-05-01T07:00:00Z,1975,5,EMP,P8,South-Central Delta,San Joaquin River near Stockton,Wet,Spring,1,40.14,1.6035773681514667
1975-05-15T07:00:00Z,1975,5,EMP,P8,South-Central Delta,San Joaquin River near Stockton,Wet,Spring,1,40.91,1.6118294794983736
1975-06-03T07:00:00Z,1975,6,EMP,C3,North Delta,Middle Sacramento River,Wet,Summer,1,3.24,0.5105450102066121
1975-06-17T07:00:00Z,1975,6,EMP,C3,North Delta,Middle Sacramento River,Wet,Summer,1,2.78,0.4440447959180762
1975-06-03T07:00:00Z,1975,6,EMP,C7,South-Central Delta,Upper San Joaquin River,Wet,Summer,1,30.1,1.4785664955938433
1975-06-17T07:00:00Z,1975,6,EMP,C7,South-Central Delta,Upper San Joaquin River,Wet,Summer,1,14.97,1.1752218003430523
1975-06-03T07:00:00Z,1975,6,EMP,C9,South-Central Delta,Victoria Canal,Wet,Summer,1,24.7,1.3926969532596658
1975-06-17T07:00:00Z,1975,6,EMP,C9,South-Central Delta,Victoria Canal,Wet,Summer,1,10.96,1.0398105541483504
1975-06-19T07:00:00Z,1975,6,EMP,D10,Confluence,Confluence,Wet,Summer,1,20.84,1.318897714627487
1975-06-18T07:00:00Z,1975,6,EMP,D11,Confluence,Lower Sacramento River,Wet,Summer,1,10.65,1.0273496077747566
1975-06-19T07:00:00Z,1975,6,EMP,D12,Confluence,Lower San Joaquin River,Wet,Summer,1,12.35,1.0916669575956846
1975-06-19T07:00:00Z,1975,6,EMP,D14A,Confluence,Lower San Joaquin River,Wet,Summer,1,9.11,0.9595183769729982
1975-06-18T07:00:00Z,1975,6,EMP,D15,Confluence,San Joaquin River at Twitchell Island,Wet,Summer,1,8.65,0.9370161074648142
1975-06-18T07:00:00Z,1975,6,EMP,D16,Confluence,San Joaquin River at Twitchell Island,Wet,Summer,1,5.56,0.7450747915820575
1975-06-18T07:00:00Z,1975,6,EMP,D19,South-Central Delta,Franks Tract,Wet,Summer,1,9.57,0.9809119377768436
1975-06-18T07:00:00Z,1975,6,EMP,D22,Confluence,Sacramento River near Rio Vista,Wet,Summer,1,5.87,0.7686381012476144
1975-06-18T07:00:00Z,1975,6,EMP,D24,Confluence,Sacramento River near Rio Vista,Wet,Summer,1,4.48,0.651278013998144
1975-06-18T07:00:00Z,1975,6,EMP,D26,Confluence,San Joaquin River at Prisoners Pt,Wet,Summer,1,3.4,0.5314789170422551
1975-06-03T07:00:00Z,1975,6,EMP,D28A,South-Central Delta,Old River,Wet,Summer,1,5.09,0.7067177823367587
1975-06-17T07:00:00Z,1975,6,EMP,D28A,South-Central Delta,Old River,Wet,Summer,1,5.09,0.7067177823367587
1975-06-18T07:00:00Z,1975,6,EMP,D4,Confluence,Lower Sacramento River,Wet,Summer,1,9.57,0.9809119377768436
1975-06-19T07:00:00Z,1975,6,EMP,D6,Suisun Bay,West Suisun Bay,Wet,Summer,1,13.89,1.1427022457376157
1975-06-19T07:00:00Z,1975,6,EMP,D7,Suisun Bay,Grizzly Bay,Wet,Summer,1,32.42,1.5108130105124962
1975-06-19T07:00:00Z,1975,6,EMP,D8,Suisun Bay,Mid Suisun Bay,Wet,Summer,1,25.47,1.4060289449636152
1975-06-19T07:00:00Z,1975,6,EMP,D9,Suisun Bay,Honker Bay,Wet,Summer,1,12.66,1.1024337056813363
1975-06-03T07:00:00Z,1975,6,EMP,MD10,South-Central Delta,Disappointment Slough,Wet,Summer,1,10.81,1.0338256939533104
1975-06-17T07:00:00Z,1975,6,EMP,MD10,South-Central Delta,Disappointment Slough,Wet,Summer,1,10.81,1.0338256939533104
1975-06-03T07:00:00Z,1975,6,EMP,P12,South-Central Delta,Grant Line Canal and Old River,Wet,Summer,1,50.17,1.7004441010277516
1975-06-17T07:00:00Z,1975,6,EMP,P12,South-Central Delta,Grant Line Canal and Old River,Wet,Summer,1,23.16,1.3647385550553985
1975-06-03T07:00:00Z,1975,6,EMP,P8,South-Central Delta,San Joaquin River near Stockton,Wet,Summer,1,33.96,1.530967681571915
1975-06-17T07:00:00Z,1975,6,EMP,P8,South-Central Delta,San Joaquin River near Stockton,Wet,Summer,1,15.44,1.1886472959997174
1975-07-01T07:00:00Z,1975,7,EMP,C3,North Delta,Middle Sacramento River,Wet,Summer,1,4.32,0.6354837468149122
1975-07-15T07:00:00Z,1975,7,EMP,C3,North Delta,Middle Sacramento River,Wet,Summer,1,5.09,0.7067177823367587
1975-07-01T07:00:00Z,1975,7,EMP,C7,South-Central Delta,Upper San Joaquin River,Wet,Summer,1,92.63,1.9667516640513778
1975-07-15T07:00:00Z,1975,7,EMP,C7,South-Central Delta,Upper San Joaquin River,Wet,Summer,1,129.68,2.1128730018404585
1975-07-01T07:00:00Z,1975,7,EMP,C9,South-Central Delta,Victoria Canal,Wet,Summer,1,8.95,0.951823035315912
1975-07-15T07:00:00Z,1975,7,EMP,C9,South-Central Delta,Victoria Canal,Wet,Summer,1,7.1,0.8512583487190752
1975-07-03T07:00:00Z,1975,7,EMP,D10,Confluence,Confluence,Wet,Summer,1,23.16,1.3647385550553985
1975-07-17T07:00:00Z,1975,7,EMP,D10,Confluence,Confluence,Wet,Summer,1,15.44,1.1886472959997174
1975-07-02T07:00:00Z,1975,7,EMP,D11,Confluence,Lower Sacramento River,Wet,Summer,1,11.42,1.0576661039098292
1975-07-16T07:00:00Z,1975,7,EMP,D11,Confluence,Lower Sacramento River,Wet,Summer,1,12.35,1.0916669575956846
1975-07-03T07:00:00Z,1975,7,EMP,D12,Confluence,Lower San Joaquin River,Wet,Summer,1,15.44,1.1886472959997174
1975-07-17T07:00:00Z,1975,7,EMP,D12,Confluence,Lower San Joaquin River,Wet,Summer,1,13.43,1.1280760126687153
1975-07-03T07:00:00Z,1975,7,EMP,D14A,Confluence,Lower San Joaquin River,Wet,Summer,1,9.73,0.9881128402683519
1975-07-17T07:00:00Z,1975,7,EMP,D14A,Confluence,Lower San Joaquin River,Wet,Summer,1,10.34,1.0145205387579237
1975-07-02T07:00:00Z,1975,7,EMP,D15,Confluence,San Joaquin River at Twitchell Island,Wet,Summer,1,9.42,0.9740509027928773
1975-07-16T07:00:00Z,1975,7,EMP,D15,Confluence,San Joaquin River at Twitchell Island,Wet,Summer,1,8.95,0.951823035315912
1975-07-02T07:00:00Z,1975,7,EMP,D16,Confluence,San Joaquin River at Twitchell Island,Wet,Summer,1,6.02,0.7795964912578245
1975-07-16T07:00:00Z,1975,7,EMP,D16,Confluence,San Joaquin River at Twitchell Island,Wet,Summer,1,6.18,0.7909884750888159
1975-07-02T07:00:00Z,1975,7,EMP,D19,South-Central Delta,Franks Tract,Wet,Summer,1,6.48,0.8115750058705934
1975-07-16T07:00:00Z,1975,7,EMP,D19,South-Central Delta,Franks Tract,Wet,Summer,1,7.26,0.8609366207000937
1975-07-02T07:00:00Z,1975,7,EMP,D22,Confluence,Sacramento River near Rio Vista,Wet,Summer,1,8.18,0.912753303671323
1975-07-16T07:00:00Z,1975,7,EMP,D22,Confluence,Sacramento River near Rio Vista,Wet,Summer,1,9.42,0.9740509027928773
1975-07-02T07:00:00Z,1975,7,EMP,D24,Confluence,Sacramento River near Rio Vista,Wet,Summer,1,7.56,0.8785217955012065
1975-07-16T07:00:00Z,1975,7,EMP,D24,Confluence,Sacramento River near Rio Vista,Wet,Summer,1,7.72,0.8876173003357362
1975-07-02T07:00:00Z,1975,7,EMP,D26,Confluence,San Joaquin River at Prisoners Pt,Wet,Summer,1,4.32,0.6354837468149122
1975-07-16T07:00:00Z,1975,7,EMP,D26,Confluence,San Joaquin River at Prisoners Pt,Wet,Summer,1,4.79,0.6803355134145632
