"","AlgaeBloomReportID","UpdatedOn","CreatedOn","RegionalBoardID","CountyID","Latitude","Longitude","ObservationDate","HasPostedSigns","HasContactWithWater","WaterBodyType","WaterBodyName","WaterBodyManager","RecLandManager","IsIncidentResoloved","IncidentInformation","TypeofSign","OfficialWaterBodyName","BloomLastVerifiedOn","BloomDeterminedBy","ApprovedforPost","UpdatedOn_Date","TypeofSign_new","days_ago_label"
"11",1425,2017-04-11 00:00:00,2016-06-01 00:00:00,2,1,37.6684618,-121.84425,2016-06-01,"Yes","No","River","Arroyo Del Valle","East Bay Regional Parks District","East Bay Regional Parks District","Yes","UPDATE 9/1/2016: East Bay Regional Parks District removed signs because no visual indicators.
Blue green algae identified, precautionary sign posted to avoid contact with algae and rinse off  both humans and their canines  after water contact (swimming is allowed)","for current sign see 2017 bloom #1639","Arroyo Del Valle in Shadow Cliffs Regional Park",2016-07-01,"Observation, Analytical",TRUE,2017-04-11,"Last verified >90 days ago","Older than 90 days"
"12",1426,2016-12-08 00:00:00,2016-07-28 11:32:35,2,1,37.896029,-122.25034,2016-05-20,"Yes","No","Lake","Lake Anza","East Bay Regional Parks District","East Bay Regional Parks District","Yes","UPDATE: 12/29/16 No visible cyanobacteria since early December and no toxins detected since November, so signage removed.

UPDATE: 12/08/2016 Lake Anza remains closed to swimming due to cyanotoxin levels. It is closed now for the season!

UPDATE: 11/18/2016 Lake Anza remains closed to swimming due to cyanotoxin levels

UPDATE: 09/23/2016
The Lake remains closed to swimming although the bloom appears to be receding. There is still presence of toxins in high enough levels to keep it closed.

Blue green algae identified, precautionary sign posted to avoid contact with algae and rinse off  both humans and their canines  after water contact (swimming is allowed)

Posted caution signs. 6/17/16: caution sign. 7/1/16: caution signs. 7/8/16: caution signs. 7/29/16: caution sign

UPDATE: 11-18-2016 Lake Anza remains closed to swimming due to cyanotoxin levels","closed to swimming","Lake Anza",2016-12-29,"Observation",TRUE,2016-12-08,"Last verified >90 days ago","Older than 90 days"
"13",1427,2016-12-08 00:00:00,2016-08-05 00:00:00,2,1,37.726948,-122.11221,2016-08-05,"No","No","Lake","Lake Chabot","East Bay Regional Parks District","East Bay Regional Parks District","Yes","UPDATE 12/29/2016: Cyanobacteria still visible all over the lake. Closing out this (#1427) report for 2016, and initiating a new report (#1522) for 2017 since bloom crosses calendar years. 

UPDATE 12/08/2016: The cyanobacteria is getting worse all over Lake Chabot this week. In the Marina, a Microcystis-type colony continues to be the primary cyanobacteria. 

UPDATE 09/01/2016: Bloom observed in cove area and conditions were improving","none","Lake Chabot (Alameda Co)",2016-12-08,"Observation",TRUE,2016-12-08,"Last verified >90 days ago","Older than 90 days"
"14",1428,2016-09-19 00:00:00,2016-07-28 11:40:29,8,33,33.651146,-117.33189,2016-07-20,"No","No","Lake","Lake Elsinore","Unknown","City of Lake Elsinore","No","Bloom observed and sampled at middle of lake as well as scum from the dockside. Lab results indicated presence of cyanobacteria in both areas.","closed","Lake Elsinore",2016-09-12,"Analytical",TRUE,2016-09-19,"Last verified >90 days ago","Older than 90 days"
"15",1429,2016-12-08 00:00:00,2016-07-28 12:34:59,5,24,37.072892,-121.13813,2016-07-26,"No","No","Reservoir","San Luis Reservoir","Department of Water Resources and Bureau of Reclamation","DWR and BOR","No","12/08/2016 UPDATE: Microcystins measured at Pacheco Pumping Plant and Basalt Boat Launch were below Caution trigger levels. Signs have been removed.

UPDATE: 11/14/2016 Microcystins measured at Basalt Boat Launch were at 7.68ppb. The recreational health advisory has been upgraded to Tier I Warning.

UPDATE: In July the Department of Water Resources found the toxin, microcystin, above the states trigger thresholds in the San Luis Reservoir and ONeill Forebay. In response, California State Parks staff, which manages recreation at the sites, posted danger signs at the reservoir and caution signs at the Forebay. Conditions have improved slightly in the reservoir but have been variable in the forebay. For current posting information the public should contact Water Resources Public Affairs Representative Doug Carlson at (916) 653-5114, or Ted Thomas at (916) 653-9712.","caution","San Luis Reservoir",2016-11-28,"Analytical",TRUE,2016-12-08,"Last verified >90 days ago","Older than 90 days"
"16",1430,2016-09-20 00:00:00,2016-07-28 12:40:39,5,24,37.069512,-121.06711,2016-07-11,"No","No","Reservoir","O'Neill Forebay","Department of Water Resources and Bureau of Reclamation","California State Parks","Yes","In July the Department of Water Resources found the toxin, microcystin, above the states trigger thresholds in the San Luis Reservoir and ONeill Forebay. In response, California State Parks staff, which manages recreation at the sites, posted danger signs at the reservoir and caution signs at the Forebay. Conditions have improved slightly in the reservoir but have been variable in the forebay. For current posting information the public should contact Water Resources Public Affairs Representative Doug Carlson at (916) 653-5114, or Ted Thomas at (916) 653-9712.","none","O'Neill Forebay",2016-09-09,"Analytical",TRUE,2016-09-20,"Last verified >90 days ago","Older than 90 days"
"17",1440,2016-12-08 00:00:00,2016-08-01 10:34:03,2,1,37.846563,-122.23053,2016-06-28,"Yes","No","Lake","Lake Temescal","East Bay Parks","East Bay Parks","Yes","UPDATE: 12/08/2016 Lake Temescal is closed to swimming for the season. No visible cyanobacteria.

UPDATE: 11/18/2016 Lake Temescal remains closed to swimming due to cyanotoxin levels 

Bloom Observed 06/08/2016. Updates show ongoing blooms throughout July. 

UPDATE: 09/29/2016 - new development of colonies, continuing monitoring.","closed to swimming for the season","Lake Temescal",2016-12-08,"Observation",TRUE,2016-12-08,"Last verified >90 days ago","Older than 90 days"
"18",1441,NA,2016-08-02 10:17:16,3,44,36.9502299,-121.76606,2016-08-02,"No","No","Lake","Pinto Lake",NA,"City of Watsonville","No","Tends to start some time in the spring, and (usually) shifts  in the late summer, peaking in around October-November. Signs are always present  at the lake, and visitors receive handouts","caution","Pinto Lake",2016-08-02,"Analytical",TRUE,NA,"Last verified >90 days ago","Older than 90 days"
"19",1442,NA,2016-08-02 13:31:07,3,44,36.9641173,-122.01246,2015-09-15,"Yes","No","River Lagoon","San Lorenzo River lagoon","City of Santa Cruz","City of Santa Cruz","No","Bloom observed throughout lagoon.","advisory","San Lorenzo River Lagoon",2015-11-01,"Observation",TRUE,NA,"Last verified >90 days ago","Older than 90 days"
"20",1443,2016-07-15 00:00:00,2016-08-02 14:20:35,3,44,36.9397603,-121.73538,2016-07-15,"Yes","No","Lake","Kelly Lake","Private","Private","No","Ongoing Microcystis bloom.","advisory","Kelly Lake",2016-08-02,"Analytical",TRUE,2016-07-15,"Last verified >90 days ago","Older than 90 days"
"21",1444,2016-09-20 00:00:00,2016-08-04 10:36:15,6,36,34.285733,-117.34536,2016-07-25,"No","No","Lake","Silverwood Lake","Department of Water Resources, State Water Project","Department of Water Resources","Yes","Bloom at Silverwood lake at the Silverwood Lake Outlet and Cleghorn Cove. Samples sent to laboratory and reported at non-detectable levels as of 09/06/2016","none","Silverwood Lake",2016-09-06,"Observation",TRUE,2016-09-20,"Last verified >90 days ago","Older than 90 days"
"22",1445,2016-09-09 00:00:00,2016-08-05 15:52:50,5,18,40.283725,-121.02456,2016-08-05,"No","No","Reservoir","Mountain Meadows Reservoir","PG&E","PG&E","No","In August a cyanobacteria bloom was reported occurring in the Mountain Meadows Reservoir.  Monitoring conducted over the past three weeks by Pacific Gas and Electric Company has found no detection of cyanotoxins, so caution signs were removed and the advisory lifted. For more information on this cyanobacteria bloom event, contact Paul Moreno at (530) 896-4290.","none","Mountain Meadows Reservoir",2016-09-09,"Observation",TRUE,2016-09-09,"Last verified >90 days ago","Older than 90 days"
"23",1446,2016-09-19 00:00:00,2016-08-08 07:29:43,8,33,33.6870414,-117.2726,2016-08-01,"No","No","Lake","Canyon Lake",NA,"Canyon Lake POA","Yes","Lake has been reopened based on water quality samples having been collected and analyzed by the lake managers.","none","Canyon Lake",2016-09-12,"Analytical",TRUE,2016-09-19,"Last verified >90 days ago","Older than 90 days"
"24",1449,2016-09-09 00:00:00,2016-08-10 15:10:11,5,15,35.648032,-118.41637,2016-08-10,"No","No","Lake","Isabella Lake","Kern County Water Master, USACOE, CDFW, USFWS, USFS","Kern County Water Master, USACOE, CADFW, USFWS, USFS","No","In August cyanobacteria blooms were reported occurring in Kissack Cove at Isabella Lake, and in the Kern River at the Keyesville Recreation Area and Calloway Weir. The Central Valley Regional Water Quality Control Board, along with the Kern County Public Health Services Department, conducted sampling at these sites. The toxin, microcystin was found at two sites along Isabella Lake in Kissack Cove and Paradise Cove. Warning signs were posted. Toxin concentrations in the Kern River were below method detection limits. However, caution is still being urged in the Kern River site near the Calloway Weir due to a report of an animal illness and human illness. It is unknown whether these illnesses were related to cyanobacteria, so the public is being urged to limit body contact recreation in this area. For more information on these cyanobacteria blooms, contact the Kern County Public Health Services Department at (661) 321-3000.","warning","Isabella Lake",2016-08-10,"Analytical",TRUE,2016-09-09,"Last verified >90 days ago","Older than 90 days"
"25",1458,2016-09-09 00:00:00,2016-08-16 09:49:32,5,15,35.63894,-118.48448,2016-08-03,"No","No","River","Kern River","Unknown","Unknown","No","In August cyanobacteria blooms were reported occurring in Kissack Cove at Isabella Lake, and in the Kern River at the Keyesville Recreation Area and Calloway Weir. The Central Valley Regional Water Quality Control Board, along with the Kern County Public Health Services Department, conducted sampling at these sites. The toxin, microcystin was found at two sites along Isabella Lake in Kissack Cove and Paradise Cove. Warning signs were posted. Toxin concentrations in the Kern River were below method detection limits. However, caution is still being urged in the Kern River site near the Calloway Weir due to a report of an animal illness and human illness. It is unknown whether these illnesses were related to cyanobacteria, so the public is being urged to limit body contact recreation in this area. For more information on these cyanobacteria blooms, contact the Kern County Public Health Services Department at (661) 321-3000.","caution","Kern River",2016-09-09,"Analytical",TRUE,2016-09-09,"Last verified >90 days ago","Older than 90 days"
"26",1460,2016-12-08 00:00:00,2016-08-17 08:56:17,5,7,38.0123861,-121.72869,2016-07-25,"No","No","River","Big Break Regional Shoreline in the Delta","East Bay Regional Park District","East Bay Regional Park District","Yes","Website link: http://www.ebparks.org/features/Toxic_Algae_Update 
12/08/2016 UPDATE: There is a swirling pattern of scum on the water at the Big Break kayak launch. Microcystis-type cyanobacteria seen, but no toxins detected with field test strip kit

08/29/2016 UPDATE: Sampling conducted during Aug. 22 and Aug. 29 found microcystin levels above 50 ppb at the kayak launch area. Signs have been posted prohibiting body contact recreation. Dogs not allowed in the water or along the shoreline.
 
7/25/2016: Since June the East Bay Regional Park District has been conducting routine monitoring of the surface water at the Big Break Regional Shoreline located in the Delta in Contra Costa County.  In late July, cyanobacteria colonies along with mats and scum were observed near the kayak launch area.  Low concentrations of microcystin detected.","none","Big Break Regional Shoreline",2016-12-08,"Analytical",TRUE,2016-12-08,"Last verified >90 days ago","Older than 90 days"
"27",1463,2016-09-02 00:00:00,2016-09-12 10:06:12,5,45,40.777897,-122.21091,2016-08-09,"Yes","No","Lake","Squaw Arm of Shasta Lake","Unknown","USDA Service Center, Forest Service Shasta-Trinity National Forest 530-226-2500","No","In August a cyanobacteria bloom was reported occurring in the Pit River arm of Lake Shasta.  Low concentrations of the toxin, Anatoxin-a, were found and routine monitoring was conducted by the Central Valley Regional Water Quality Control Board (Redding Office). The bloom was sampled and verified at several areas throughout Shasta Lake including the Sqauw Arm.
For more information on this cyanobacteria bloom event, contact Clint Snyder or Bryan Smith at (530) 224-4845.","caution","Shasta Lake - Squaw Arm",2016-09-02,"Analytical",TRUE,2016-09-02,"Last verified >90 days ago","Older than 90 days"
"28",1464,2016-09-02 00:00:00,2016-09-12 10:08:48,5,45,40.75585,-122.24727,2016-08-09,"No","No","Lake","Siverthorn Area of Shasta Lake","Unknown","USDA Service Center, Forest Service Shasta-Trinity National Forest 530-226-2500","No","In August a cyanobacteria bloom was reported occurring in the Pit River arm of Lake Shasta.  Low concentrations of the toxin, Anatoxin-a, were found and routine monitoring was conducted by the Central Valley Regional Water Quality Control Board (Redding Office). The bloom was sampled and verified at several areas throughout Shasta Lake including Silverthorn.
For more information on this cyanobacteria bloom event, contact Clint Snyder or Bryan Smith at (530) 224-4845.","caution","Shasta Lake - Silverthorn",2016-09-02,"Analytical",TRUE,2016-09-02,"Last verified >90 days ago","Older than 90 days"
"29",1465,2016-09-02 00:00:00,2016-09-12 10:10:44,5,45,40.736056,-122.22351,2016-08-09,"No","No","Lake","Jones Valley area of Shasta Lake","Unknown","USDA Service Center, Forest Service Shasta-Trinity National Forest 530-226-2500","No","In August a cyanobacteria bloom was reported occurring in the Pit River arm of Lake Shasta.  Low concentrations of the toxin, Anatoxin-a, were found and routine monitoring was conducted by the Central Valley Regional Water Quality Control Board (Redding Office). The bloom was sampled and verified at several areas throughout Shasta Lake including Jones Valley.
For more information on this cyanobacteria bloom event, contact Clint Snyder or Bryan Smith at (530) 224-4845.","caution","Shasta Lake - Jones Valley",2016-09-02,"Analytical",TRUE,2016-09-02,"Last verified >90 days ago","Older than 90 days"
"30",1466,2016-09-02 00:00:00,2016-09-12 10:14:34,5,45,40.794513,-122.29453,2016-08-24,"No","No","Lake","Holiday Harbor area of Shasta Lake","Unknown","USDA Service Center, Forest Service Shasta-Trinity National Forest 530-226-2500","No","In August a cyanobacteria bloom was reported occurring in the Pit River arm of Lake Shasta.  Low concentrations of the toxin, Anatoxin-a, were found and routine monitoring was conducted by the Central Valley Regional Water Quality Control Board (Redding Office). The bloom was sampled and verified at several areas throughout Shasta Lake including the Holiday Harbor.
For more information on this cyanobacteria bloom event, contact Clint Snyder or Bryan Smith at (530) 224-4845.","caution","Shasta Lake - Holiday Harbor",2016-09-02,"Analytical",TRUE,2016-09-02,"Last verified >90 days ago","Older than 90 days"
"31",1467,2016-09-02 00:00:00,2016-09-12 10:16:37,5,45,40.858,-122.25,2016-08-24,"No","No","Lake","McCloud Arm","Unknown","USDA Service Center, Forest Service Shasta-Trinity National Forest 530-226-2500","No","In August a cyanobacteria bloom was reported occurring in the Pit River arm of Lake Shasta.  Low concentrations of the toxin, Anatoxin-a, were found and routine monitoring was conducted by the Central Valley Regional Water Quality Control Board (Redding Office). The bloom was sampled and verified at several areas throughout Shasta Lake including the McCloud Arm.
For more information on this cyanobacteria bloom event, contact Clint Snyder or Bryan Smith at (530) 224-4845.","caution","Shasta Lake - McCloud Arm",2016-09-02,"Analytical",TRUE,2016-09-02,"Last verified >90 days ago","Older than 90 days"
"32",1468,2016-09-02 00:00:00,2016-09-12 10:18:47,5,45,40.76192,-122.32378,2016-08-24,"No","No","Lake","Bridge Bay Area of Shasta Lake","Unknown","USDA Service Center, Forest Service Shasta-Trinity National Forest 530-226-2500","No","In August a cyanobacteria bloom was reported occurring in the Pit River arm of Lake Shasta.  Low concentrations of the toxin, Anatoxin-a, were found and routine monitoring was conducted by the Central Valley Regional Water Quality Control Board (Redding Office). The bloom was sampled and verified at several areas throughout Shasta Lake including Bridge Bay.
For more information on this cyanobacteria bloom event, contact Clint Snyder or Bryan Smith at (530) 224-4845.","caution","Shasta Lake - Bridge Bay",2016-09-02,"Analytical",TRUE,2016-09-02,"Last verified >90 days ago","Older than 90 days"
"33",1469,2016-09-02 00:00:00,2016-09-12 10:20:54,5,45,40.732668,-122.4015,2016-08-24,"No","No","Lake","Digger Bay Area of Shasta Lake","Unknown","USDA Service Center, Forest Service Shasta-Trinity National Forest 530-226-2500","No","In August a cyanobacteria bloom was reported occurring in the Pit River arm of Lake Shasta.  Low concentrations of the toxin, Anatoxin-a, were found and routine monitoring was conducted by the Central Valley Regional Water Quality Control Board (Redding Office). Samples were taken at multiple locations where blooms were present, including Digger Bay. 
For more information on this cyanobacteria bloom event, contact Clint Snyder or Bryan Smith at (530) 224-4845.","caution","Shasta Lake - Digger Bay",2016-09-02,"Analytical",TRUE,2016-09-02,"Last verified >90 days ago","Older than 90 days"
"34",1470,2016-09-02 00:00:00,2016-09-12 10:22:45,5,45,40.773263,-122.37706,2016-08-24,"No","No","Lake","Sacramento Arm of Shasta Lake","unknown","USDA Service Center, Forest Service Shasta-Trinity National Forest 530-226-2500","No","In August a cyanobacteria bloom was reported occurring in the Pit River arm of Lake Shasta.  Low concentrations of the toxin, Anatoxin-a, were found and routine monitoring was conducted by the Central Valley Regional Water Quality Control Board (Redding Office). A revised news release has been prepared and is available here.
For more information on this cyanobacteria bloom event, contact Clint Snyder or Bryan Smith at (530) 224-4845.","caution","Shasta Lake - Sacramento Arm",2016-09-02,"Analytical",TRUE,2016-09-02,"Last verified >90 days ago","Older than 90 days"
"35",1471,2016-08-24 00:00:00,2016-09-12 10:24:29,5,45,40.809776,-122.37115,2016-08-24,"No","No","Lake","O'Brien area of Shasta Lake","USDA Service Center, Forest Service Shasta-Trinity National Forest 530-226-2500",NA,"No","In August a cyanobacteria bloom was reported occurring in the Pit River arm of Lake Shasta.  Low concentrations of the toxin, Anatoxin-a, were found and routine monitoring was conducted by the Central Valley Regional Water Quality Control Board (Redding Office). A revised news release has been prepared and is available here.
For more information on this cyanobacteria bloom event, contact Clint Snyder or Bryan Smith at (530) 224-4845.","caution","Shasta Lake - O'Brien area",2016-08-24,"Analytical",TRUE,2016-08-24,"Last verified >90 days ago","Older than 90 days"
"36",1472,2016-08-24 00:00:00,2016-09-12 10:25:52,5,45,40.881943,-122.37732,2016-08-24,"No","No","Lake","Antlers area of Shasta Lake",NA,"USDA Service Center, Forest Service Shasta-Trinity National Forest 530-226-2500","No","In August a cyanobacteria bloom was reported occurring in the Pit River arm of Lake Shasta.  Low concentrations of the toxin, Anatoxin-a, were found and routine monitoring was conducted by the Central Valley Regional Water Quality Control Board (Redding Office). A revised news release has been prepared and is available here.
For more information on this cyanobacteria bloom event, contact Clint Snyder or Bryan Smith at (530) 224-4845.","caution","Shasta Lake - Antlers Area",2016-08-24,"Analytical",TRUE,2016-08-24,"Last verified >90 days ago","Older than 90 days"
"37",1473,2016-09-13 00:00:00,2016-09-14 08:48:18,6,14,36.5621847,-118.05562,2016-09-01,"Yes","No","Lake","Diaz Lake","LADWP","Inyo County","No","Concerned citizen reported the bloom to the Regional Water Quality Control Board and LADWP. Advisory was posted and samples were taken and sent to laboratory for analysis.","caution","Diaz Lake",2016-09-13,"Analytical",TRUE,2016-09-13,"Last verified >90 days ago","Older than 90 days"
"38",1474,2016-09-02 00:00:00,2016-09-14 08:52:31,6,14,37.378984,-118.49262,2016-09-01,"Yes","No","Lake","Millpond","Unknown","Unknown","No","Bloom Observed at Millpond, Samples taken and sent to lab for analysis.","caution","Millpond",2016-09-02,"Analytical",TRUE,2016-09-02,"Last verified >90 days ago","Older than 90 days"
"39",1476,NA,2016-09-20 12:54:17,5,39,37.85822,-121.56839,2016-09-14,"No","No","River","Old River (Kings Island) - River","Department of Water Resources","Unknown","No","Bloom was not dense but visible in the water column surrounding the island's private dock areas. Samples were collected by DWR and sent to the lab for analysis.","none","Old River (Kings Island)",2016-09-20,"Observation",TRUE,NA,"Last verified >90 days ago","Older than 90 days"
"40",1477,NA,2016-09-20 13:05:01,5,39,37.80983,-121.55994,2016-09-14,"Yes","No","River","Old River (Rivers End Marina) - River","Department of Water Resources","Unknown","No","Bloom observed. Samples taken by DWR and sent to laboratory for analysis. County environmental health posted caution signs.","caution","Old River (Rivers End Marina)",2016-09-20,"Observation",TRUE,NA,"Last verified >90 days ago","Older than 90 days"
"41",1478,NA,2016-09-20 13:12:22,5,39,37.81686,-121.55701,2016-09-14,"No","No","River","Old River at the Delta Mendota Canal Intake - River","Department of Water Resources","Unknown","No","Bloom observed by DWR and Regional Water Board staff. Samples were collected and sent to the lab for analysis.","none","Old River at the Delta Mendota Canal Intake",2016-09-20,"Observation",TRUE,NA,"Last verified >90 days ago","Older than 90 days"
"42",1479,NA,2016-09-20 13:20:30,5,39,37.81092,-121.54536,2016-09-14,"No","No","River","Old River (ODM site) - River","Department of Water Resources","Unknown","No","Bloom observed. Samples were taken by DWR and sent to the lab for analysis.","none","Old River (ODM Site)",2016-09-20,"Observation",TRUE,NA,"Last verified >90 days ago","Older than 90 days"
"43",1480,NA,2016-09-20 13:29:14,5,39,37.79494,-121.51991,2016-09-14,"No","Yes","River","Old River Upstream of Mountain House) site ORM - River","Department of Water Resources","Unknown","No","Bloom is located downstream of the CDEC site ORM (Old River upstream of Mountain House). Green specks and flakes on water surface and in water column. Samples were taken by DWR and sent to the lab for analysis","none","Old River (Upstream of Mountain House) site ORM",2016-09-20,"Observation",TRUE,NA,"Last verified >90 days ago","Older than 90 days"
"44",1481,NA,2016-09-20 13:36:33,5,39,37.80263,-121.45738,2016-09-14,"No","No","River","Tracy Wildlife Area (Site TWA) on Old River - River","DWR","Unknown","No","Green water, spilled paint look, lots of surface scum mixed in with water hyacinth. Samples collected by DWR and sent to the lab for analysis","none","Old River - Tracy Wildlife Area (Site TWA)",2016-09-20,"Observation",TRUE,NA,"Last verified >90 days ago","Older than 90 days"
"45",1482,NA,2016-09-20 13:46:25,5,39,37.81502,-121.42519,2016-09-14,"No","No","Riveree","Old River at Doughty Cut (Site name DGL) - River","Department of Water Resources","Unknown","No","Green flecks in water column and on surface. Samples taken by DWR and sent to lab for analysis","none","Old River at Doughty Cut (Site name DGL)",2016-09-20,"Observation",TRUE,NA,"Last verified >90 days ago","Older than 90 days"
"46",1483,NA,2016-09-20 14:01:19,5,39,37.81929,-121.46058,2016-09-14,"Yes","No","River","Grant Line Canal (Tracy Oasis Marina-off dock site) - River","Department of Water Resources","Unknown","No","Green water; surface scum in areas between the docks; some areas look like green spilled paint; marina operator noted bloom started in late July early August. San Joaquin County Environmental Health Department posted caution signs at site to alert marina visitors of the presence of cyanobacteria in the water. Samples collected and sent to the lab for analysis.","caution","Grant Line Canal (Tracy Oasis Marina-off dock site)",2016-09-20,"Observation",TRUE,NA,"Last verified >90 days ago","Older than 90 days"
