"","AlgalType","Genus"
"66","Diatom","Staurosira"
"67","Diatom","Staurosirella"
"68","Diatom","Stephanocyclus"
"69","Diatom","Surirella"
"70","Diatom","Synedra"
"71","Diatom","Thalassionema"
"72","Diatom","Thalassiosira"
"73","Diatom","Tryblionella"
"74","Diatom","Ulnaria"
"75","Green Alga","Chlorella"
"76","Green Alga","Coccomyxa"
"77","Green Alga","Drepanochloris"
"78","Green Alga","Monoraphidium"
"79","Pennate Diatom","Achnanthidium"
"80","Pennate Diatom","Cocconeis"
"81","Pennate Diatom","Entomoneis"
"82","Pennate Diatom","Navicula"
"83","Pennate Diatom","Nitzschia"
"84","Pennate Diatom","Planothidium"
"85","Pennate Diatom","Rhoicosphenia"
"86","Pennate Diatom","Ulnaria"
"87","Soft Body","Anabaenopsis"
"88","Soft Body","Aphanizomenon"
"89","Soft Body","Aphanocapsa"
"90","Soft Body","Carteria"
"91","Soft Body","Chlamydomonas"
"92","Soft Body","Chlorella"
"93","Soft Body","Chlorococcum"
"94","Soft Body","Chloroidium"
"95","Soft Body","Chroococcus"
"96","Soft Body","Chroomonas"
"97","Soft Body","Chrysochromulina"
"98","Soft Body","Chrysococcus"
"99","Soft Body","Chrysosaccus"
"100","Soft Body","Coelastrum"
"101","Soft Body","Cryptomonas"
"102","Soft Body","Cuspidothrix"
"103","Soft Body","Cyanodictyon"
"104","Soft Body","Cylindrospermum"
"105","Soft Body","Desmodesmus"
"106","Soft Body","Dictyochloris"
"107","Soft Body","Dictyosphaerium"
"108","Soft Body","Dinobryon"
"109","Soft Body","Dolichospermum"
"110","Soft Body","Drepanochloris"
"111","Soft Body","Eucapsis"
"112","Soft Body","Euglena"
"113","Soft Body","Eutreptiella"
"114","Soft Body","Geitlerinema"
"115","Soft Body","Gymnodinium"
"116","Soft Body","Hemiselmis"
"117","Soft Body","Kephyrion"
"118","Soft Body","Keratococcus"
"119","Soft Body","Kirchneriella"
"120","Soft Body","Komvophoron"
"121","Soft Body","Lagerheimia"
"122","Soft Body","Lepocinclis"
"123","Soft Body","Merismopedia"
"124","Soft Body","Microcystis"
"125","Soft Body","Microspora"
"126","Soft Body","Monoraphidium"
"127","Soft Body","Nautococcus"
"128","Soft Body","Ochromonas"
"129","Soft Body","Oocystis"
"130","Soft Body","Oscillatoria"
"131","Soft Body","Pandorina"
"132","Soft Body","Peridiniopsis"
"133","Soft Body","Peridinium"
"134","Soft Body","Phacus"
"135","Soft Body","Phormidium"
"136","Soft Body","Plagioselmis"
"137","Soft Body","Planktolyngbya"
"138","Soft Body","Planktosphaeria"
"139","Soft Body","Planktothrix"
"140","Soft Body","Prorocentrum"
"141","Soft Body","Protoperidinium"
"142","Soft Body","Pseudanabaena"
"143","Soft Body","Pseudokephyrion"
"144","Soft Body","Pyramimonas"
"145","Soft Body","Raphidocelis"
"146","Soft Body","Rusalka"
"147","Soft Body","Scenedesmus"
"148","Soft Body","Schroederia"
"149","Soft Body","Selenastrum"
"150","Soft Body","Snowella"
"151","Soft Body","Sphaerocystis"
"152","Soft Body","Sphaerospermopsis"
"153","Soft Body","Synechococcus"
"154","Soft Body","Synura"
"155","Soft Body","Tetrabaena"
"156","Soft Body","Tetraedron"
"157","Soft Body","Tetrastrum"
"158","Soft Body","Trachelomonas"
"159","Soft Body","Treubaria"
"160","Centric Diatom","Skeletonema"
"161","Cryptophyte","Cryptomonas"
"162","Cyanobacterium","Aphanizomenon"
"163","Cyanobacterium","Aphanocapsa"
"164","Cyanobacterium","Chroococcus"
"165","Cyanobacterium","Cyanodictyon"
"166","Cyanobacterium","Dolichospermum"
"167","Cyanobacterium","Merismopedia"
"168","Cyanobacterium","Oscillatoria"
"169","Cyanobacterium","Planktolyngbya"
"170","Cyanobacterium","Pseudanabaena"
"171","Dinoflagellate","Gymnodinium"
"172","Euglenoid","Euglena"
"173","Green Alga","Chlamydomonas"
"174","Green Alga","Crucigenia"
"175","Green Alga","Desmodesmus"
"176","Green Alga","Lagerheimia"
"177","Green Alga","Scenedesmus"
"178","Green Alga","Selenastrum"
"179","Green Alga","Sphaerocystis"
"180","Haptophyte","Chrysochromulina"
"181","Pennate Diatom","Acanthoceras"
"182","Pennate Diatom","Encyonema"
"183","Pennate Diatom","Gomphonema"
"184","Pennate Diatom","Mayamaea"
"185","Pennate Diatom","Tryblionella"
"186","Synurophyte","Mallomonas"
