"","Station","Stratum","Stratum2","Year","Date","DateTime","Taxon","Genus","Species","AlgalType","Count","OrganismsPerMl"
"69","MD10A","Eastern Delta","East Delta",2014,2014-01-09,2014-01-09 11:15:00,"Chroococcus microscopicus","Chroococcus",NA,"Cyanobacterium",364,12746.09
"70","MD10A","Eastern Delta","East Delta",2014,2014-01-09,2014-01-09 11:15:00,"Cyclotella sp.","Cyclotella",NA,"Centric Diatom",4,140.07
"71","MD10A","Eastern Delta","East Delta",2014,2014-01-09,2014-01-09 11:15:00,"Hillea fusiformis","Hillea",NA,"Cryptophyte",2,70.03
"72","MD10A","Eastern Delta","East Delta",2014,2014-01-09,2014-01-09 11:15:00,"Navicula sp.","Navicula",NA,"Pennate Diatom",3,105.05
"73","MD10A","Eastern Delta","East Delta",2014,2014-01-09,2014-01-09 11:15:00,"Plagioselmis nannoplanctica","Plagioselmis",NA,"Cryptophyte",29,1015.48
"74","MD10A","Eastern Delta","East Delta",2014,2014-01-09,2014-01-09 11:15:00,"Pseudokephyrion pseudospirale","Pseudokephyrion",NA,"Chrysophyte",1,35.02
"75","MD10A","Eastern Delta","East Delta",2014,2014-01-09,2014-01-09 11:15:00,"Tabellaria sp.","Tabellaria",NA,"Pennate Diatom",1,35.02
"76","P8","Southern Delta","South Delta",2014,2014-01-09,2014-01-09 13:00:00,"Chroococcus microscopicus","Chroococcus",NA,"Cyanobacterium",360,16387.83
"77","P8","Southern Delta","South Delta",2014,2014-01-09,2014-01-09 13:00:00,"Cyclotella sp.","Cyclotella",NA,"Centric Diatom",12,546.26
"78","P8","Southern Delta","South Delta",2014,2014-01-09,2014-01-09 13:00:00,"Kephyrion littorale","Kephyrion",NA,"Chrysophyte",3,136.57
"79","P8","Southern Delta","South Delta",2014,2014-01-09,2014-01-09 13:00:00,"Navicula gregaria","Navicula",NA,"Pennate Diatom",1,45.52
"80","P8","Southern Delta","South Delta",2014,2014-01-09,2014-01-09 13:00:00,"Nitzschia acicularis","Nitzschia",NA,"Pennate Diatom",1,45.52
"81","P8","Southern Delta","South Delta",2014,2014-01-09,2014-01-09 13:00:00,"Nitzschia palea","Nitzschia",NA,"Pennate Diatom",1,45.52
"82","P8","Southern Delta","South Delta",2014,2014-01-09,2014-01-09 13:00:00,"Rhodomonas cf. lacustris","Rhodomonas",NA,"Cryptophyte",19,864.91
"83","P8","Southern Delta","South Delta",2014,2014-01-09,2014-01-09 13:00:00,"Strombidium sp.","Strombidium",NA,"Ciliate",5,227.61
"84","D8",NA,NA,2014,2014-01-10,2014-01-10 09:38:00,"cf. Epipyxis sp.","Epipyxis",NA,"Chrysophyte",1,65.03
"85","D8",NA,NA,2014,2014-01-10,2014-01-10 09:38:00,"cf. Thalassionema sp.","Thalassionema",NA,"Pennate Diatom",1,65.03
"86","D8",NA,NA,2014,2014-01-10,2014-01-10 09:38:00,"Chroococcus microscopicus","Chroococcus",NA,"Cyanobacterium",393,25557.2
"87","D8",NA,NA,2014,2014-01-10,2014-01-10 09:38:00,"Cyclotella sp.","Cyclotella",NA,"Centric Diatom",10,650.31
"88","D8",NA,NA,2014,2014-01-10,2014-01-10 09:38:00,"Synedra cf. ulna","Synedra",NA,"Pennate Diatom",1,65.03
"89","D8",NA,NA,2014,2014-01-10,2014-01-10 09:38:00,"Synedra parasitica","Synedra",NA,"Pennate Diatom",1,65.03
"90","D8",NA,NA,2014,2014-01-10,2014-01-10 09:38:00,"Thalassiosira cf. decipiens","Thalassiosira",NA,"Centric Diatom",2,130.06
"91","D4","Lower Sacramento","Lower Sac",2014,2014-01-10,2014-01-10 11:00:00,"Chroococcus microscopicus","Chroococcus",NA,"Cyanobacterium",411,26727.76
"92","D4","Lower Sacramento","Lower Sac",2014,2014-01-10,2014-01-10 11:00:00,"Cocconeis placentula","Cocconeis",NA,"Pennate Diatom",1,65.03
"93","D4","Lower Sacramento","Lower Sac",2014,2014-01-10,2014-01-10 11:00:00,"Cyclotella sp.","Cyclotella",NA,"Centric Diatom",8,520.25
"94","D4","Lower Sacramento","Lower Sac",2014,2014-01-10,2014-01-10 11:00:00,"Encyonema sp.","Encyonema",NA,"Pennate Diatom",1,65.03
"95","D4","Lower Sacramento","Lower Sac",2014,2014-01-10,2014-01-10 11:00:00,"Gomphonema sp.","Gomphonema",NA,"Pennate Diatom",1,65.03
"96","D4","Lower Sacramento","Lower Sac",2014,2014-01-10,2014-01-10 11:00:00,"Nitzschia sp.","Nitzschia",NA,"Pennate Diatom",2,130.06
"97","D4","Lower Sacramento","Lower Sac",2014,2014-01-10,2014-01-10 11:00:00,"Rhodomonas cf. lacustris","Rhodomonas",NA,"Cryptophyte",4,260.12
"98","D7",NA,NA,2014,2014-01-13,2014-01-13 11:35:00,"cf. Planothidium sp.","Planothidium",NA,"Pennate Diatom",1,50.58
"99","D7",NA,NA,2014,2014-01-13,2014-01-13 11:35:00,"Chroococcus microscopicus","Chroococcus",NA,"Cyanobacterium",427,21597.54
"100","D7",NA,NA,2014,2014-01-13,2014-01-13 11:35:00,"Cyclotella sp.","Cyclotella",NA,"Centric Diatom",12,606.96
"101","D7",NA,NA,2014,2014-01-13,2014-01-13 11:35:00,"Hillea fusiformis","Hillea",NA,"Cryptophyte",5,252.9
"102","D7",NA,NA,2014,2014-01-13,2014-01-13 11:35:00,"Thalassionema sp.","Thalassionema",NA,"Pennate Diatom",1,50.58
"103","D7",NA,NA,2014,2014-01-13,2014-01-13 11:35:00,"Thalassiosira sp.","Thalassiosira",NA,"Centric Diatom",3,151.74
"104","D41A",NA,NA,2014,2014-01-14,2014-01-14 10:15:00,"Aulacoseira granulata","Aulacoseira",NA,"Centric Diatom",1,65.03
"105","D41A",NA,NA,2014,2014-01-14,2014-01-14 10:15:00,"Chroococcus microscopicus","Chroococcus",NA,"Cyanobacterium",412,26792.8
"106","D41A",NA,NA,2014,2014-01-14,2014-01-14 10:15:00,"Cyclotella sp.","Cyclotella",NA,"Centric Diatom",14,910.43
"107","D41A",NA,NA,2014,2014-01-14,2014-01-14 10:15:00,"Euglena cf. agilis","Euglena",NA,"Euglenoid",1,65.03
"108","D41A",NA,NA,2014,2014-01-14,2014-01-14 10:15:00,"Fragilaria sp.","Fragilaria",NA,"Pennate Diatom",1,65.03
"109","D41A",NA,NA,2014,2014-01-14,2014-01-14 10:15:00,"Pseudokephyrion ellipsoideum","Pseudokephyrion",NA,"Chrysophyte",1,65.03
"110","D41A",NA,NA,2014,2014-01-14,2014-01-14 10:15:00,"Pseudokephyrion sp.","Pseudokephyrion",NA,"Chrysophyte",1,65.03
"111","D41A",NA,NA,2014,2014-01-14,2014-01-14 10:15:00,"Rhodomonas cf. lacustris","Rhodomonas",NA,"Cryptophyte",3,195.09
"112","D41",NA,NA,2014,2014-01-14,2014-01-14 11:15:00,"Chroococcus microscopicus","Chroococcus",NA,"Cyanobacterium",414,11085.88
"113","D41",NA,NA,2014,2014-01-14,2014-01-14 11:15:00,"Coscinodiscus sp.","Coscinodiscus",NA,"Centric Diatom",1,26.78
"114","D41",NA,NA,2014,2014-01-14,2014-01-14 11:15:00,"Cyclotella sp.","Cyclotella",NA,"Centric Diatom",11,294.55
"115","D41",NA,NA,2014,2014-01-14,2014-01-14 11:15:00,"Pseudokephyrion ruttneri","Pseudokephyrion",NA,"Chrysophyte",3,80.33
"116","D41",NA,NA,2014,2014-01-14,2014-01-14 11:15:00,"Rhizosolenia setigera","Rhizosolenia",NA,"Centric Diatom",2,53.55
"117","D41",NA,NA,2014,2014-01-14,2014-01-14 11:15:00,"Thalassionema sp.","Thalassionema",NA,"Pennate Diatom",3,80.33
"118","D6",NA,NA,2014,2014-01-14,2014-01-14 13:05:00,"cf. Scrippsiella sp.","Scrippsiella",NA,"Dinoflagellate",1,50.58
"119","D6",NA,NA,2014,2014-01-14,2014-01-14 13:05:00,"Chroococcus microscopicus","Chroococcus",NA,"Cyanobacterium",366,18512.17
"120","D6",NA,NA,2014,2014-01-14,2014-01-14 13:05:00,"Cyclotella sp.","Cyclotella",NA,"Centric Diatom",13,657.54
"121","D6",NA,NA,2014,2014-01-14,2014-01-14 13:05:00,"Hillea fusiformis","Hillea",NA,"Cryptophyte",13,657.54
"122","D6",NA,NA,2014,2014-01-14,2014-01-14 13:05:00,"Navicula sp.","Navicula",NA,"Pennate Diatom",1,50.58
"123","D6",NA,NA,2014,2014-01-14,2014-01-14 13:05:00,"Paralia sulcata","Paralia",NA,"Centric Diatom",2,101.16
"124","D6",NA,NA,2014,2014-01-14,2014-01-14 13:05:00,"Pseudokephyrion pseudospirale","Pseudokephyrion",NA,"Chrysophyte",2,101.16
"125","D6",NA,NA,2014,2014-01-14,2014-01-14 13:05:00,"Rhodomonas salina","Rhodomonas",NA,"Cryptophyte",2,101.16
"126","D6",NA,NA,2014,2014-01-14,2014-01-14 13:05:00,"Thalassiosira sp.","Thalassiosira",NA,"Centric Diatom",1,50.58
"127","C3A","Upper Sacramento","Upper Sac",2014,2014-02-05,2014-02-05 09:30:00,"Achnanthidium minutissimum","Achnanthidium",NA,"Pennate Diatom",2,12.88
"128","C3A","Upper Sacramento","Upper Sac",2014,2014-02-05,2014-02-05 09:30:00,"Aulacoseira alpigena","Aulacoseira",NA,"Centric Diatom",2,12.88
"129","C3A","Upper Sacramento","Upper Sac",2014,2014-02-05,2014-02-05 09:30:00,"Bacillaria paxillifer","Bacillaria",NA,"Pennate Diatom",1,6.44
"130","C3A","Upper Sacramento","Upper Sac",2014,2014-02-05,2014-02-05 09:30:00,"cf. Amphora sp.","Amphora",NA,"Pennate Diatom",1,6.44
"131","C3A","Upper Sacramento","Upper Sac",2014,2014-02-05,2014-02-05 09:30:00,"cf. Monoraphidium obtusum","Monoraphidium",NA,"Green Alga",1,6.44
"132","C3A","Upper Sacramento","Upper Sac",2014,2014-02-05,2014-02-05 09:30:00,"Chroococcus microscopicus","Chroococcus",NA,"Cyanobacterium",349,2246.79
"133","C3A","Upper Sacramento","Upper Sac",2014,2014-02-05,2014-02-05 09:30:00,"Chrysococcus sp.","Chrysococcus",NA,"Chrysophyte",3,19.31
"134","C3A","Upper Sacramento","Upper Sac",2014,2014-02-05,2014-02-05 09:30:00,"Cyclotella sp.","Cyclotella",NA,"Centric Diatom",12,77.25
"135","C3A","Upper Sacramento","Upper Sac",2014,2014-02-05,2014-02-05 09:30:00,"Kephyrion rubri-claustri","Kephyrion",NA,"Chrysophyte",1,6.44
"136","C3A","Upper Sacramento","Upper Sac",2014,2014-02-05,2014-02-05 09:30:00,"Monoraphidium arcuatum","Monoraphidium",NA,"Green Alga",2,12.88
"137","C3A","Upper Sacramento","Upper Sac",2014,2014-02-05,2014-02-05 09:30:00,"Nitzschia cf. dissipata","Nitzschia",NA,"Pennate Diatom",1,6.44
"138","C3A","Upper Sacramento","Upper Sac",2014,2014-02-05,2014-02-05 09:30:00,"Nitzschia sp.","Nitzschia",NA,"Pennate Diatom",4,25.75
"139","C3A","Upper Sacramento","Upper Sac",2014,2014-02-05,2014-02-05 09:30:00,"Plagioselmis nannoplanctica","Plagioselmis",NA,"Cryptophyte",3,19.31
"140","C3A","Upper Sacramento","Upper Sac",2014,2014-02-05,2014-02-05 09:30:00,"Stephanocyclus meneghiniana","Stephanocyclus",NA,"Centric Diatom",22,141.63
"141","C3A","Upper Sacramento","Upper Sac",2014,2014-02-05,2014-02-05 09:30:00,"Synedra ulna","Synedra",NA,"Pennate Diatom",11,70.82
"142","C10A",NA,NA,2014,2014-02-05,2014-02-05 12:03:00,"Achnanthidium minutissimum","Achnanthidium",NA,"Pennate Diatom",1,65.03
"143","C10A",NA,NA,2014,2014-02-05,2014-02-05 12:03:00,"cf. Gymnodinium sp.","Gymnodinium",NA,"Dinoflagellate",1,65.03
"144","C10A",NA,NA,2014,2014-02-05,2014-02-05 12:03:00,"Chlamydomonas globosa","Chlamydomonas",NA,"Green Alga",2,130.06
"145","C10A",NA,NA,2014,2014-02-05,2014-02-05 12:03:00,"Chroococcus microscopicus","Chroococcus",NA,"Cyanobacterium",351,22825.9
"146","C10A",NA,NA,2014,2014-02-05,2014-02-05 12:03:00,"Chrysococcus sp.","Chrysococcus",NA,"Chrysophyte",5,325.16
"147","C10A",NA,NA,2014,2014-02-05,2014-02-05 12:03:00,"Cryptomonas ovata","Cryptomonas",NA,"Cryptophyte",1,65.03
"148","C10A",NA,NA,2014,2014-02-05,2014-02-05 12:03:00,"Cyclotella sp.","Cyclotella",NA,"Centric Diatom",29,1885.9
"149","C10A",NA,NA,2014,2014-02-05,2014-02-05 12:03:00,"Encyonema minutum","Encyonema",NA,"Pennate Diatom",1,65.03
"150","C10A",NA,NA,2014,2014-02-05,2014-02-05 12:03:00,"Euglena sp.","Euglena",NA,"Euglenoid",4,260.12
"151","C10A",NA,NA,2014,2014-02-05,2014-02-05 12:03:00,"Navicula gregaria","Navicula",NA,"Pennate Diatom",7,455.22
"152","C10A",NA,NA,2014,2014-02-05,2014-02-05 12:03:00,"Navicula sp.","Navicula",NA,"Pennate Diatom",2,130.06
"153","C10A",NA,NA,2014,2014-02-05,2014-02-05 12:03:00,"Nitzschia cf. thermaloides","Nitzschia",NA,"Pennate Diatom",1,65.03
"154","C10A",NA,NA,2014,2014-02-05,2014-02-05 12:03:00,"Nitzschia sp.","Nitzschia",NA,"Pennate Diatom",1,65.03
"155","C10A",NA,NA,2014,2014-02-05,2014-02-05 12:03:00,"Rhoicosphenia abbreviata","Rhoicosphenia",NA,"Pennate Diatom",1,65.03
"156","C10A",NA,NA,2014,2014-02-05,2014-02-05 12:03:00,"Scenedesmus cf. communis","Scenedesmus",NA,"Green Alga",1,65.03
"157","C10A",NA,NA,2014,2014-02-05,2014-02-05 12:03:00,"Stephanocyclus meneghiniana","Stephanocyclus",NA,"Centric Diatom",2,130.06
"158","D26","Lower San Joaquin","Lower SJ",2014,2014-02-06,2014-02-06 09:00:00,"Achnanthidium minutissimum","Achnanthidium",NA,"Pennate Diatom",1,32.52
"159","D26","Lower San Joaquin","Lower SJ",2014,2014-02-06,2014-02-06 09:00:00,"Aulacoseira sp.","Aulacoseira",NA,"Centric Diatom",7,227.61
"160","D26","Lower San Joaquin","Lower SJ",2014,2014-02-06,2014-02-06 09:00:00,"Chroococcus microscopicus","Chroococcus",NA,"Cyanobacterium",400,13006.21
"161","D26","Lower San Joaquin","Lower SJ",2014,2014-02-06,2014-02-06 09:00:00,"Coscinodiscus sp.","Coscinodiscus",NA,"Centric Diatom",1,32.52
"162","D26","Lower San Joaquin","Lower SJ",2014,2014-02-06,2014-02-06 09:00:00,"Cyclotella sp.","Cyclotella",NA,"Centric Diatom",4,130.06
"163","D26","Lower San Joaquin","Lower SJ",2014,2014-02-06,2014-02-06 09:00:00,"Nitzschia sp.","Nitzschia",NA,"Pennate Diatom",1,32.52
"164","D26","Lower San Joaquin","Lower SJ",2014,2014-02-06,2014-02-06 09:00:00,"Plagioselmis nannoplanctica","Plagioselmis",NA,"Cryptophyte",5,162.58
"165","D26","Lower San Joaquin","Lower SJ",2014,2014-02-06,2014-02-06 09:00:00,"Pseudokephyrion pseudospirale","Pseudokephyrion",NA,"Chrysophyte",1,32.52
"166","D26","Lower San Joaquin","Lower SJ",2014,2014-02-06,2014-02-06 09:00:00,"Synedra ulna","Synedra",NA,"Pennate Diatom",3,97.55
"167","MD10A","Eastern Delta","East Delta",2014,2014-02-06,2014-02-06 10:10:00,"Aulacoseira sp.","Aulacoseira",NA,"Centric Diatom",4,140.07
"168","MD10A","Eastern Delta","East Delta",2014,2014-02-06,2014-02-06 10:10:00,"Chroococcus microscopicus","Chroococcus",NA,"Cyanobacterium",409,14321.84
"169","MD10A","Eastern Delta","East Delta",2014,2014-02-06,2014-02-06 10:10:00,"Fragilaria sp.","Fragilaria",NA,"Pennate Diatom",2,70.03
"170","MD10A","Eastern Delta","East Delta",2014,2014-02-06,2014-02-06 10:10:00,"Kephyrion rubri-claustri","Kephyrion",NA,"Chrysophyte",1,35.02
"171","MD10A","Eastern Delta","East Delta",2014,2014-02-06,2014-02-06 10:10:00,"Nitzschia cf. sigma","Nitzschia",NA,"Pennate Diatom",1,35.02
"172","MD10A","Eastern Delta","East Delta",2014,2014-02-06,2014-02-06 10:10:00,"Plagioselmis nannoplanctica","Plagioselmis",NA,"Cryptophyte",8,280.13
"173","MD10A","Eastern Delta","East Delta",2014,2014-02-06,2014-02-06 10:10:00,"Pseudanabaena sp.","Pseudanabaena",NA,"Cyanobacterium",1,35.02
"174","P8","Southern Delta","South Delta",2014,2014-02-06,2014-02-06 11:30:00,"Aulacoseira sp.","Aulacoseira",NA,"Centric Diatom",4,260.12
"175","P8","Southern Delta","South Delta",2014,2014-02-06,2014-02-06 11:30:00,"Chroococcus microscopicus","Chroococcus",NA,"Cyanobacterium",390,25362.11
